"","Project.Name","Year","Property.Type","Planning.Region","Postal.District","Security","Carpark","Entertainment","Chill.Out","Food.Dining","Family.Friendly","Fitness","Function.Room","Month","Time.Quarter","Floor.No","Age","Tenure_Bin","Latitude","Longitude","No.of.Residents.Million","Age.65.and.above.of.total.residents","Resident.in.Condominiums.and.Other.Apartments.of.total.residents","Condominiums.and.Private.Flats.Households.of.Total.Households","Monthly.Household.Income.8000.and.above.of.Total.Households","Tenants.of.total.households","Uni.Qualification.of.total","CBD.km","childcare.centre.km","community.club.km","elderly.care.centre.km","exercise.facility.km","URA.growth.area.km","hawker.centre.and.market.km","hospital.polyclinic.km","kindergarten.km","library.km","MRT.station.km","park.km","private.school.km","primary.school.km","top.primary.school.km","secondary.school.km","junior.college.km","higher.education.school.km","shopping.mall.km","supermarket.hypermarket.km","bus.stop.km","bus.interchange.km","TransactionPricePerUnit","Area.Sqm.Unit"
"1","76 SHENTON",2013,"Apartment","Central Region","Anson ",0,0,0,0,0,0,0,0,4.66666666666667,2,38,0,1,1.273445,103.845595,0.00372,0.196236559,0.282258065,0.379286214,0.294611617,0.243526942,0.325386598,1.333880939,0.226501965,0.538982397,0.400737046,0.428881702,1.052054704,0.443539393,1.051788159,0.606896384,1.312923427,0.374648003,0.323164541,0.120532309,0.667802169,2.398393316,1.730855142,5.789225181,2.699862807,1.096143457,0.164405037,0.099118102,3.036056084,1219333.33333333,57
"2","ALTEZ",2013,"Apartment","Central Region","Anson ",0,0,0,0,0,0,0,0,4,1.69230769230769,25.7692307692308,0,1,1.2743414,103.8444187,0.00372,0.196236559,0.282258065,0.379286214,0.294611617,0.243526942,0.325386598,1.321196367,0.164370473,0.374932696,0.2363874,0.26494827,1.15745209,0.2881719,0.88763356,0.442592601,1.212867568,0.353852592,0.270351191,0.052049479,0.511817823,2.261380186,1.576971648,5.667427331,2.644256433,0.948594511,0,0.065979911,2.935276369,1762487.69230769,70.3846153846154
"3","CRAIG PLACE",2013,"Apartment","Central Region","Anson ",0,0,0,0,0,0,0,0,10,4,67,13,1,1.278053,103.842299,0.02208,0.199728261,0.082427536,0.108012994,0.135625338,0.489983757,0.146635796,1.209878195,0.03265632,0.223835996,0.278566946,0.138112177,1.39373972,0.186492705,0.468047498,0.203451045,0.852091157,0.316571946,0.354372074,0.153069851,0.371925315,2.047122507,1.102579607,5.223330922,2.359748177,0.478083693,0.184833562,0.118712557,2.82200304,950000,53
"4","DORSETT RESIDENCES",2013,"Apartment","Central Region","Anson ",0,0,0,0,0,0,0,0,4,2,23,0,1,1.2797902,103.8398655,0.02208,0.199728261,0.082427536,0.108012994,0.135625338,0.489983757,0.146635796,1.369212401,0.324242924,0.352941036,0.423410046,0.113538721,1.697727848,0.458471913,0.168580197,0.379701414,0.829266132,0.196915158,0.227474878,0.115353894,0.462911703,1.823577771,0.806645483,4.999454785,2.339137091,0.282492644,0.474213421,0.062406574,2.527932349,1857500,69
"5","EON SHENTON",2013,"Apartment","Central Region","Anson ",0,0,0,0,0,0,0,0,3.5,1.5,18.5,0,1,1.2739069,103.846216,0.00372,0.196236559,0.282258065,0.379286214,0.294611617,0.243526942,0.325386598,1.255882762,0.305500843,0.5732826,0.434247393,0.439062319,0.97181653,0.453253388,1.074868691,0.638661721,1.267613026,0.30946489,0.275234893,0.086470664,0.717425795,2.463657184,1.727874647,5.752807412,2.632255584,1.071403608,0.205752284,0.081632797,3.115537848,1625421,74
"6","INTERNATIONAL PLAZA",2013,"Apartment","Central Region","Anson ",0,0,0,0,0,0,0,0,8.5,3.16666666666667,39.3333333333333,37,1,1.275848,103.845971,0.00372,0.196236559,0.282258065,0.379286214,0.294611617,0.243526942,0.325386598,1.084916447,0.380189439,0.489535105,0.366992851,0.26212696,0.968533358,0.323488408,0.940711012,0.542728573,1.050560708,0.114397411,0.059240533,0.032301562,0.665006306,2.432845374,1.541160767,5.536484031,2.432154481,0.859070027,0.240386015,0.046551143,3.149862445,1257166.66666667,102.166666666667
"7","LUMIERE",2013,"Apartment","Central Region","Anson ",0,0,0,0,0,0,0,0,3.66666666666667,1.66666666666667,13.6666666666667,3,1,1.274333,103.846003,0.00372,0.196236559,0.282258065,0.379286214,0.294611617,0.243526942,0.325386598,1.225767611,0.300881555,0.532256708,0.394039773,0.403769216,0.984289316,0.404646374,1.028342202,0.596242197,1.218122369,0.267485341,0.22511743,0.036120624,0.683175059,2.4375784,1.675716893,5.701676078,2.592754658,1.026013539,0.176322604,0.102532539,3.104716949,1087633.33333333,47
"8","SKYSUITES@ANSON",2013,"Apartment","Central Region","Anson ",0,0,0,0,0,0,0,0,6.27272727272727,2.45454545454545,38.7272727272727,0,1,1.2743889,103.844776,0.00372,0.196236559,0.282258065,0.379286214,0.294611617,0.243526942,0.325386598,1.293707506,0.193459924,0.406373326,0.267197368,0.297097956,1.117369116,0.305081581,0.914850506,0.472979972,1.206336689,0.323842797,0.245334594,0.084421789,0.548799772,2.300883292,1.593448963,5.669301224,2.626495626,0.961050886,0.040112373,0.04254687,2.974935693,1429036.36363636,56.0909090909091
"9","SPOTTISWOODE PARK",2013,"Apartment","Central Region","Anson ",0,0,0,0,0,0,0,0,6.83333333333333,2.66666666666667,35.3333333333333,0,1,1.27434123333333,103.835469683333,0.15584,0.183842402,0.058393224,0.047890413,0.23209952,0.235353336,0.211350104,2.07325710766667,0.114104380333333,0.711802539666667,0.816699867333333,0.694321930833333,2.14671126283333,0.8944411015,0.663750025333333,0.682988693666667,1.60629383,0.868035575,0.997880035333333,0.843179664166667,0.526372744833333,1.2694602655,1.35931048733333,5.5814740985,3.1161988755,1.05344194616667,0.81147531,0.184009974,1.99888155166667,927500,98.5
"10","SPOTTISWOODE SUITES",2013,"Apartment","Central Region","Anson ",0,0,0,0,0,0,0,0,1.9047619047619,1.16190476190476,14.0666666666667,0,2,1.2757222,103.8371723,0.15584,0.183842402,0.058393224,0.047890413,0.23209952,0.235353336,0.211350104,1.832031114,0.259527239,0.493451604,0.613736322,0.480290044,1.947806391,0.674442933,0.445604758,0.454435098,1.366682776,0.652578922,0.763129347,0.598989844,0.314904832,1.453665405,1.196571413,5.430695483,2.880558478,0.821511047,0.592399238,0.208852868,2.235002352,1295986.19047619,53.7714285714286
